SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024
030,4,9,00,Pacific,53689131,53677215,53322054,53358710,53487563,53848093,-11916,-355161,36656,128853,360530,140761,559750,573588,555763,545157,103313,469692,455871,433564,416342,37448,90058,117717,122199,128815,2400,63647,295606,392269,482150,-55812,-497239,-369554,-385255,-251161,-53412,-433592,-73948,7014,230989,4048,-11627,-7113,-360,726,10.462688301,10.75335381,10.403039515,10.157985153,8.7793496982,8.5464517296,8.115659776,7.7577575899,1.683338603,2.2069020803,2.2873797386,2.4002275628,1.189671679,5.5418800713,7.3426800764,8.9839670799,-9.294250412,-6.928221849,-7.211388646,-4.679917361,-8.104578733,-1.386341778,0.1312914303,4.3040497186
040,3,6,01,Alabama,5025369,5033094,5049196,5076181,5117673,5157699,7725,16102,26985,41492,40026,13867,57184,58103,58528,57541,15146,69134,67246,60059,59273,-1279,-11950,-9143,-1531,-1732,133,1804,8155,12995,15763,9757,25175,28226,29946,26028,9890,26979,36381,42941,41791,-886,1073,-253,82,-33,11.343454711,11.476708472,11.4829975,11.199789166,13.713947923,13.28266592,11.783374571,11.536905914,-2.370493211,-1.805957447,-0.30037707,-0.337116749,0.3578552095,1.6108042199,2.5495754599,3.0681127652,4.9939051545,5.575298579,5.8753048651,5.0660939575,5.351760364,7.1861027989,8.4248803249,8.1342067226
040,4,9,02,Alaska,733395,733017,734420,734442,736510,740133,-378,1403,22,2068,3623,2406,9454,9359,9132,9014,1169,5333,6388,5597,5642,1237,4121,2971,3535,3372,65,873,2818,3391,4029,-1634,-3438,-5832,-4886,-3774,-1569,-2565,-3014,-1495,255,-46,-153,65,28,-4,12.885050602,12.743198476,12.416448667,12.208773549,7.2684551364,8.6978899311,7.6100375811,7.6416574622,5.6165954654,4.045308545,4.8064110862,4.567116087,1.1898296145,3.8369840053,4.6106195172,5.4569723352,-4.68572075,-7.940841277,-6.643316709,-5.111594339,-3.495891135,-4.103857272,-2.032697192,0.3453779959
040,4,8,04,Arizona,7158110,7187135,7274078,7377566,7473027,7582384,29025,86943,103488,95461,109357,18110,75693,79173,78647,78322,17991,80277,79806,70779,68662,119,-4584,-633,7868,9660,251,8017,33411,52767,64486,30189,83565,68790,35208,34902,30440,91582,102201,87975,99388,-1534,-55,1920,-382,309,10.468416446,10.807387894,10.591765595,10.404498423,11.102388161,10.89379458,9.5321446086,9.1212388689,-0.633971715,-0.086406686,1.0596209862,1.2832595537,1.1087589955,4.5607168725,7.1063828899,8.566488155,11.557121799,9.3900725407,4.741628836,4.6364725613,12.665880794,13.950789413,11.848011726,13.202960716
040,3,7,05,Arkansas,3011553,3014546,3026870,3047704,3069463,3088354,2993,12324,20834,21759,18891,8509,34928,36115,35298,35161,8466,40117,40295,36414,35888,43,-5189,-4180,-1116,-727,95,1347,6177,4966,6152,2601,15880,18873,17821,13465,2696,17227,25050,22787,19617,254,286,-36,88,1,11.562852153,11.89054574,11.540636376,11.419956131,13.280661355,13.266773933,11.905511162,11.656078769,-1.717809202,-1.376228193,-0.364874786,-0.236122639,0.4459219494,2.0337228586,1.6236274079,1.9981106941,5.2570456992,6.2137690643,5.8265533702,4.3733030715,5.7029676486,8.2474919229,7.4501807781,6.3714137656
040,4,9,06,California,39555674,39521958,39142565,39142414,39198693,39431263,-33716,-379393,-151,56279,232570,103133,412507,424071,410377,400601,74572,345285,318719,303733,290135,28561,67222,105352,106644,110466,1372,44127,234953,292721,361057,-67219,-477586,-336707,-344029,-239575,-65847,-433459,-101754,-51308,121482,3570,-13156,-3749,943,622,10.487751893,10.834032414,10.476670951,10.189526241,8.7786714222,8.1425326818,7.7541156011,7.3797574044,1.7090804707,2.691499732,2.7225553502,2.8097688367,1.1219034532,6.0025052827,7.4729860532,9.1837009295,-12.14234783,-8.602084443,-8.782847554,-6.093733538,-11.02044437,-2.599579161,-1.309861501,3.0899673911
040,4,8,08,Colorado,5775324,5787129,5814036,5850935,5901339,5957493,11805,26907,36899,50404,56154,15593,62138,62659,62309,62497,11905,46475,49577,45275,45203,3688,15663,13082,17034,17294,240,3911,18507,27177,33227,7365,5817,6227,6341,5422,7605,9728,24734,33518,38649,512,1516,-917,-148,211,10.712372421,10.743104291,10.603735073,10.540161122,8.0121263683,8.5001497218,7.7048918363,7.62351638,2.7002460529,2.2429545689,2.8988432366,2.9166447421,0.6742426299,3.1730897574,4.6249772597,5.603755918,1.0028303192,1.0676408883,1.0791103067,0.91442395,1.6770729491,4.2407306456,5.7040875664,6.518179868
040,1,1,09,Connecticut,3607701,3579918,3606607,3617925,3643023,3675069,-27783,26689,11318,25098,32046,8465,33942,35637,35115,34609,11949,34586,34874,32977,32778,-3484,-644,763,2138,1831,408,6215,22355,29968,36214,-20684,19406,-10406,-6462,-6060,-20276,25621,11949,23506,30154,-4023,1712,-1394,-546,61,9.4460118068,9.8655525368,9.6722907257,9.4584763351,9.625236119,9.6543277821,9.0833869076,8.958072678,-0.179224312,0.2112247548,0.5889038181,0.5004036571,1.7296259319,6.1886361636,8.2545695135,9.897115259,5.4006630465,-2.880740233,-1.779932868,-1.656169395,7.1302889783,3.3078959301,6.4746366452,8.240945864
040,3,5,10,Delaware,989955,991928,1005062,1020625,1036423,1051917,1973,13134,15563,15798,15494,2579,10174,10849,10718,10437,2959,11233,11511,10920,10458,-380,-1059,-662,-202,-21,64,939,3477,5985,7283,2232,13461,12578,9931,8155,2296,14400,16055,15916,15438,57,-207,170,84,77,10.189334949,10.711427777,10.420758291,9.9954988172,11.249931146,11.365033196,10.617156236,10.015610485,-1.060596197,-0.653605419,-0.196397945,-0.020111668,0.9404153251,3.4329094278,5.8190183214,6.9749178774,13.48128934,12.418502957,9.6555841186,7.8100309337,14.421704666,15.851412385,15.47460244,14.784948811
040,3,5,11,District of Columbia,689545,670917,669256,676725,687324,702250,-18628,-1661,7469,10599,14926,2187,8508,8502,8061,7746,2007,5840,5603,5035,4985,180,2668,2899,3026,2761,53,1747,10017,10320,12502,-15117,-6432,-4864,-2580,-337,-15064,-4685,5153,7740,12165,-3744,356,-583,-167,0,12.69686824,12.633164956,11.819223503,11.148740549,8.7152927271,8.3255261404,7.3824327425,7.1748607847,3.981575513,4.3076388151,4.4367907604,3.9738797646,2.6071260949,14.884311146,15.131421232,17.994003918,-9.598760757,-7.227442289,-3.782855308,-0.485040739,-6.991634662,7.6568688562,11.348565924,17.508963179
040,3,5,12,Florida,21538192,21592035,21831949,22379312,22904868,23372215,53843,239914,547363,525556,467347,50294,207942,221941,224041,220659,56387,250412,260497,231613,227980,-6093,-42470,-38556,-7572,-7321,2842,46853,255915,342211,411322,62600,246571,314467,185067,64017,65442,293424,570382,527278,475339,-5506,-11040,15537,5850,-671,9.5772879798,10.040021252,9.8948904452,9.5364264857,11.533349865,11.784192267,10.22931187,9.8528249933,-1.956061885,-1.744171016,-0.334421425,-0.316398508,2.1579318931,11.576914759,15.11393162,17.77648777,11.35644302,14.225651695,8.1735829157,2.7666825932,13.514374913,25.802566455,23.287514536,20.543170364
040,3,5,13,Georgia,10713755,10732888,10792060,10931805,11064432,11180878,19133,59172,139745,132627,116446,29847,121274,125616,126127,125502,24783,109479,110352,98278,97250,5064,11795,15264,27849,28252,731,10157,44634,51941,63088,11925,36384,79891,52290,25321,12656,46541,124525,104231,88409,1413,836,-44,547,-215,11.268226989,11.564792913,11.468052467,11.283457052,10.172289383,10.159518115,8.9358920801,8.7434160279,1.0959376069,1.405274798,2.5321603873,2.5400410244,0.9437421173,4.1092135308,4.7227168902,5.6720270475,3.3806353446,7.3551368506,4.7544495906,2.2765248046,4.3243774619,11.464350381,9.4771664808,7.9485518521
040,4,9,15,Hawaii,1455252,1451252,1447029,1440359,1441387,1446146,-4000,-4223,-6670,1028,4759,3836,15528,15730,15254,14682,2837,12169,13440,12913,12411,999,3359,2290,2341,2271,119,2047,6833,9843,11893,-4736,-9831,-15833,-11033,-9321,-4617,-7784,-9000,-1190,2572,-382,202,40,-123,-84,10.715317114,10.895660715,10.586637407,10.16923443,8.3973914193,9.309452003,8.9619279423,8.5962653933,2.3179256946,1.5862087118,1.6247094643,1.5729690362,1.4125614459,4.7329974357,6.8312752061,8.2374816149,-6.784021287,-10.96700547,-7.6571634,-6.456030113,-5.371459841,-6.234008038,-0.825888194,1.781451502
040,4,8,16,Idaho,1839140,1849415,1904848,1944299,1971122,2001619,10275,55433,39451,26823,30497,5467,21850,22384,22334,22830,3623,17115,18941,16798,16635,1844,4735,3443,5536,6195,58,698,6955,6419,7899,8891,51978,28368,14730,16383,8949,52676,35323,21149,24282,-518,-1978,685,138,20,11.640100867,11.630628812,11.408224045,11.493324131,9.1176350724,9.8416610226,8.5804310699,8.374570605,2.5224657942,1.7889677895,2.8277929755,3.1187535256,0.3718439545,3.6137876782,3.2788300415,3.9765995317,27.690121869,14.739889123,7.5240951101,8.2477060548,28.061965824,18.353676802,10.802925152,12.224305586
040,2,3,17,Illinois,12821814,12799088,12700641,12621821,12642259,12710158,-22726,-98447,-78820,20438,67899,33452,131890,129795,127001,125355,35280,128378,127015,116911,114343,-1828,3512,2780,10090,11012,508,11421,60951,92822,112955,-22335,-114221,-143390,-81875,-56235,-21827,-102800,-82439,10947,56720,929,841,839,-599,167,10.34442366,10.251372872,10.053878867,9.8889979602,10.068969753,10.031804964,9.2551163549,9.0202839437,0.2754539078,0.2195679077,0.7987625118,0.8687140165,0.8957742257,4.8139868864,7.3481401262,8.9107874803,-8.958605011,-11.32512313,-6.481534257,-4.436263414,-8.062830785,-6.511136239,0.8666058689,4.4745240661
040,2,3,18,Indiana,6786587,6790497,6815907,6844545,6880131,6924275,3910,25410,28638,35586,44144,19436,77715,80484,79794,79422,19164,77891,79651,72089,70263,272,-176,833,7705,9159,342,6065,25958,25365,30852,1683,16463,4652,3173,4268,2025,22528,30610,28538,35120,1613,3058,-2805,-657,-135,11.423297441,11.783504675,11.627815476,11.506760957,11.449167613,11.661546778,10.505020301,10.179793321,-0.025870171,0.1219578971,1.1227951756,1.3269676363,0.8914919769,3.8004598969,3.6962621194,4.4698772262,2.4198899283,0.6810902011,0.4623788569,0.6183532997,3.3113819052,4.481550098,4.1586409763,5.0882305258
040,2,4,19,Iowa,3190546,3191141,3198613,3202820,3218414,3241488,595,7472,4207,15594,23074,9104,35887,36825,36475,36301,8028,35432,35586,32979,32472,1076,455,1239,3496,3829,199,3701,10340,16114,19439,-1231,1944,-6290,-3674,-231,-1032,5645,4050,12440,19208,551,1372,-1082,-342,37,11.232670303,11.505236406,11.360744679,11.238870187,11.090254805,11.11813558,10.271857403,10.053403287,0.1424154983,0.3871008257,1.0888872762,1.1854669003,1.1584170533,3.2305266649,5.0189729887,6.018357554,0.6084741291,-1.965184983,-1.144328333,-0.071518113,1.7668911824,1.2653416821,3.8746446555,5.9468394412
040,2,4,20,Kansas,2937745,2938172,2938338,2937324,2951500,2970606,427,166,-1014,14176,19106,8510,34168,34399,34698,33963,6966,32753,33207,30190,28731,1544,1415,1192,4508,5232,134,2072,6062,15340,18530,-1882,-4854,-7128,-5358,-4701,-1748,-2782,-1066,9982,13829,631,1533,-1140,-314,45,11.628670759,11.708978495,11.784356265,11.469906145,11.147092407,11.30323698,10.253320527,9.7029671539,0.4815783518,0.4057415147,1.5310357382,1.766938991,0.7051804557,2.0634270658,5.2098687276,6.2579089263,-1.652000933,-2.426279796,-1.819718164,-1.587610894,-0.946820477,-0.36285273,3.3901505632,4.6702980325
040,3,6,21,Kentucky,4506302,4508318,4507583,4519233,4550595,4588372,2016,-735,11650,31362,37777,12579,51363,52300,52506,52248,12784,58350,61278,54405,53140,-205,-6987,-8978,-1899,-892,119,1755,11149,26161,31430,1047,2704,10439,7297,7294,1166,4459,21588,33458,38724,1055,1793,-960,-197,-55,11.393869564,11.587696038,11.578168847,11.434115037,12.943797852,13.576880264,11.996919897,11.629323095,-1.549928288,-1.989184226,-0.41875105,-0.195208058,0.3893121719,2.4701954709,5.7687973796,6.8782390833,0.5998291241,2.3128864042,1.6090713076,1.5962416759,0.989141296,4.7830818752,7.3778686873,8.4744807591
040,3,7,22,Louisiana,4657874,4652301,4627971,4593687,4588071,4597740,-5573,-24330,-34284,-5616,9669,13555,57028,56482,56594,53787,14800,56843,56802,50209,49828,-1245,185,-320,6385,3959,193,3186,13341,19250,23142,-5044,-27819,-47984,-31236,-17405,-4851,-24633,-34643,-11986,5737,523,118,679,-15,-27,12.290157013,12.249857889,12.327486741,11.710887585,12.250287492,12.319259725,10.936685545,10.848905992,0.0398695211,-0.069401836,1.3908011952,0.8619815931,0.686617806,2.8934059363,4.1930967904,5.0386405729,-5.995298414,-10.40680537,-6.803925784,-3.789540194,-5.308680608,-7.513399434,-2.610828994,1.2491003788
040,1,1,23,Maine,1363196,1364571,1378931,1390922,1399646,1405012,1375,14360,11991,8724,5366,2997,11590,12059,11919,11609,3714,16131,17966,17061,16766,-717,-4541,-5907,-5142,-5157,60,1012,3255,4277,5196,1810,18016,14379,9598,5329,1870,19028,17634,13875,10525,222,-127,264,-9,-2,8.4490552586,8.7073212911,8.5423469344,8.2783711953,11.759422811,12.972529589,12.227618177,11.955824917,-3.310367552,-4.265208298,-3.685271242,-3.677453722,0.7377432202,2.3503052328,3.0653257688,3.7052645991,13.133578908,10.382500443,6.8788863056,3.8001068223,13.871322128,12.732805676,9.9442120744,7.5053714214
040,3,5,24,Maryland,6181629,6177935,6179403,6192440,6217062,6263220,-3694,1468,13037,24622,46158,17156,67431,69084,67587,65609,16945,59001,57638,53835,54005,211,8430,11446,13752,11604,505,9038,47782,43758,53100,-5487,-17763,-45928,-32748,-18509,-4982,-8725,1854,11010,34591,1077,1763,-263,-140,-37,10.913515516,11.167939975,10.892781999,10.514025244,9.5491439985,9.3176093489,8.6764158626,8.6544518786,1.3643715176,1.8503306258,2.2163661362,1.8595733654,1.4627745879,7.7243139927,7.0523377973,8.5094231044,-2.874891016,-7.424601169,-5.277891087,-2.966118875,-1.412116428,0.2997128237,1.7744467103,5.5433042298
040,1,1,25,Massachusetts,7033132,6994598,7000474,7022468,7066568,7136171,-38534,5876,21994,44100,69603,17113,66440,68959,68144,67851,22112,61657,63764,61574,61133,-4999,4783,5195,6570,6718,908,16475,72892,74610,90217,-29143,-14713,-54843,-36572,-27480,-28235,1762,18049,38038,62737,-5300,-669,-1250,-508,148,9.4947707307,9.8351686829,9.6733374803,9.5546359051,8.8112444152,9.0942399961,8.7406973763,8.6086211962,0.6835263155,0.7409286867,0.932640104,0.9460147089,2.3544001774,10.396106609,10.591214331,12.704169245,-2.102597257,-7.821896432,-5.191554624,-3.869676124,0.2518029203,2.5742101764,5.399659707,8.8344931214
040,2,3,26,Michigan,10079338,10072703,10041351,10050877,10083356,10140459,-6635,-31352,9526,32479,57103,26588,102780,104459,100976,99589,31068,115239,117941,106040,102444,-4480,-12459,-13482,-5064,-2855,409,7044,33541,55863,67608,-4721,-29240,-8722,-17446,-7656,-4312,-22196,24819,38417,59952,2157,3303,-1811,-874,6,10.219720003,10.397950889,10.030280269,9.8486858192,11.458555297,11.739962338,10.533304149,10.131026218,-1.238835294,-1.342011448,-0.50302388,-0.282340399,0.7004057959,3.3387039008,5.5490566738,6.6859788818,-2.907419857,-0.868196399,-1.732968919,-0.757127179,-2.207014061,2.4705075017,3.8160877546,5.9288517028
040,2,4,27,Minnesota,5706692,5710735,5718660,5721621,5753048,5793151,4043,7925,2961,31427,40103,16460,63012,64651,63128,61438,12738,51412,53371,49940,49658,3722,11600,11280,13188,11780,295,5523,21405,24328,29540,-1414,-10549,-29472,-5334,-1161,-1119,-5026,-8067,18994,28379,1440,1351,-252,-755,-56,11.026305417,11.302344759,11.003018911,10.642116943,8.9964516932,9.3303652244,8.7043905144,8.6016185933,2.0298537237,1.9719795344,2.2986283962,2.0404983493,0.9664553548,3.7420409516,4.2402966046,5.1168354192,-1.845941977,-5.152320996,-0.92970002,-0.201105143,-0.879486622,-1.410280045,3.3105965845,4.9157302763
